title,context,desired_output,oc
Saxony,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Saxony , officially the Free State of Saxony , is a landlocked state of Germany, bordering the states of Brandenburg, Saxony-Anhalt, Thuringia, Bavaria, as well as the countries of Poland and the Czech Republic.",True
Glorious Revolution,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Glorious Revolution of November 1688 , is also known as the Glorieuze Overtocht or Glorious Crossing by the Dutch.",True
James II of England,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","James II and VII was King of England and Ireland as James II, and King of Scotland as James VII, from 6 February 1685 until he was deposed in the Glorious Revolution of 1688.",True
Anglicanism,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Anglicanism is a Western Christian tradition that has developed from the practices, liturgy, and identity of the Church of England following the English Reformation.",True
Mary II of England,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Mary II was Queen of England, Scotland, and Ireland, co-reigning with her husband, King William III & II, from 1689 until her death from smallpox at the age of 32.",True
"Anne, Queen of Great Britain","His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Anne was Queen of England, Scotland, and Ireland between 8 March 1702 and 1 May 1707.",True
James Francis Edward Stuart,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","James Francis Edward Stuart , nicknamed The Old Pretender by Whigs, was the son of King James II and VII of England, Scotland and Ireland, and his second wife, Mary of Modena.",True
William III of England,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","William III , also widely known as William of Orange, was sovereign Prince of Orange from birth, Stadtholder of Holland, Zeeland, Utrecht, Guelders, and Overijssel in the Dutch Republic from the 1670s and King of England, Ireland, and Scotland from 1689 until his death in 1702.",True
Charles I of England,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Charles I was King of England, Scotland, and Ireland from 27 March 1625 until his execution in 1649.",True
Grand Alliance (League of Augsburg),"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Grand Alliance is the anti-French coalition formed on 20 December 1689 between England, the Dutch Republic and the Archduchy of Austria.",True
Battle of Fleurus (1690),"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Battle of Fleurus, fought on 1 July 1690, was a major engagement of the Nine Years' War.",True
Battle of Landen,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Battle of Landen or Neerwinden took place on 29 July 1693, during the Nine Years' War.",True
Battle of the Boyne,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Battle of the Boyne was a battle in 1690 between the forces of the deposed King James II of England and Ireland, VII of Scotland, versus those of King William III who, with his wife Queen Mary II , had acceded to the Crowns of England and Scotland in 1689.",True
Battle of Beachy Head (1690),"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",The Battle of Beachy Head (Fr.,True
Battles of Barfleur and La Hougue,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Battles of Barfleur and La Hougue took place during the Nine Years' War, between 19 May Old Style and 4 June Old Style 1692.",True
